variant,curve,x,y
with_ttl,precision_recall,1.000000,0.543447
with_ttl,precision_recall,1.000000,0.543454
with_ttl,precision_recall,1.000000,0.543461
with_ttl,precision_recall,1.000000,0.543468
with_ttl,precision_recall,1.000000,0.543482
with_ttl,precision_recall,1.000000,0.543489
with_ttl,precision_recall,1.000000,0.543496
with_ttl,precision_recall,1.000000,0.543503
with_ttl,precision_recall,1.000000,0.543510
with_ttl,precision_recall,1.000000,0.543517
with_ttl,precision_recall,1.000000,0.543524
with_ttl,precision_recall,1.000000,0.543545
with_ttl,precision_recall,1.000000,0.543552
with_ttl,precision_recall,1.000000,0.543559
with_ttl,precision_recall,1.000000,0.543573
with_ttl,precision_recall,1.000000,0.543587
with_ttl,precision_recall,1.000000,0.543594
with_ttl,precision_recall,1.000000,0.543601
with_ttl,precision_recall,1.000000,0.543608
with_ttl,precision_recall,1.000000,0.543629
with_ttl,precision_recall,1.000000,0.543636
with_ttl,precision_recall,1.000000,0.543643
with_ttl,precision_recall,1.000000,0.543650
with_ttl,precision_recall,1.000000,0.543664
with_ttl,precision_recall,1.000000,0.543671
with_ttl,precision_recall,1.000000,0.543678
with_ttl,precision_recall,1.000000,0.543685
with_ttl,precision_recall,1.000000,0.543692
with_ttl,precision_recall,1.000000,0.543706
with_ttl,precision_recall,1.000000,0.543713
with_ttl,precision_recall,1.000000,0.543720
with_ttl,precision_recall,1.000000,0.543727
with_ttl,precision_recall,1.000000,0.543734
with_ttl,precision_recall,1.000000,0.543741
with_ttl,precision_recall,1.000000,0.543748
with_ttl,precision_recall,1.000000,0.543761
with_ttl,precision_recall,1.000000,0.543768
with_ttl,precision_recall,1.000000,0.543775
with_ttl,precision_recall,1.000000,0.543782
with_ttl,precision_recall,1.000000,0.543796
with_ttl,precision_recall,1.000000,0.543810
with_ttl,precision_recall,1.000000,0.543817
with_ttl,precision_recall,1.000000,0.543845
with_ttl,precision_recall,1.000000,0.543852
with_ttl,precision_recall,1.000000,0.543866
with_ttl,precision_recall,1.000000,0.543873
with_ttl,precision_recall,1.000000,0.543880
with_ttl,precision_recall,1.000000,0.543908
with_ttl,precision_recall,1.000000,0.543915
with_ttl,precision_recall,1.000000,0.543922
with_ttl,precision_recall,1.000000,0.543929
with_ttl,precision_recall,1.000000,0.543936
with_ttl,precision_recall,1.000000,0.543943
with_ttl,precision_recall,1.000000,0.543950
with_ttl,precision_recall,1.000000,0.543964
with_ttl,precision_recall,1.000000,0.543971
with_ttl,precision_recall,1.000000,0.543978
with_ttl,precision_recall,1.000000,0.543985
with_ttl,precision_recall,1.000000,0.543992
with_ttl,precision_recall,1.000000,0.544006
with_ttl,precision_recall,1.000000,0.544013
with_ttl,precision_recall,1.000000,0.544020
with_ttl,precision_recall,1.000000,0.544027
with_ttl,precision_recall,1.000000,0.544034
with_ttl,precision_recall,1.000000,0.544041
with_ttl,precision_recall,1.000000,0.544048
with_ttl,precision_recall,1.000000,0.544055
with_ttl,precision_recall,1.000000,0.544062
with_ttl,precision_recall,1.000000,0.544083
with_ttl,precision_recall,1.000000,0.544090
with_ttl,precision_recall,1.000000,0.544097
with_ttl,precision_recall,1.000000,0.544104
with_ttl,precision_recall,1.000000,0.544111
with_ttl,precision_recall,1.000000,0.544118
with_ttl,precision_recall,1.000000,0.544125
with_ttl,precision_recall,1.000000,0.544139
with_ttl,precision_recall,1.000000,0.544146
with_ttl,precision_recall,1.000000,0.544153
with_ttl,precision_recall,1.000000,0.544160
with_ttl,precision_recall,1.000000,0.544167
with_ttl,precision_recall,1.000000,0.544174
with_ttl,precision_recall,1.000000,0.544188
with_ttl,precision_recall,1.000000,0.544202
with_ttl,precision_recall,1.000000,0.544216
with_ttl,precision_recall,1.000000,0.544223
with_ttl,precision_recall,1.000000,0.544230
with_ttl,precision_recall,1.000000,0.544237
with_ttl,precision_recall,1.000000,0.544244
with_ttl,precision_recall,1.000000,0.544251
with_ttl,precision_recall,1.000000,0.544258
with_ttl,precision_recall,1.000000,0.544287
with_ttl,precision_recall,1.000000,0.544308
with_ttl,precision_recall,1.000000,0.544315
with_ttl,precision_recall,1.000000,0.544322
with_ttl,precision_recall,1.000000,0.544329
with_ttl,precision_recall,1.000000,0.544385
with_ttl,precision_recall,1.000000,0.544392
with_ttl,precision_recall,1.000000,0.544399
with_ttl,precision_recall,1.000000,0.544406
with_ttl,precision_recall,1.000000,0.544420
with_ttl,precision_recall,1.000000,0.544427
with_ttl,precision_recall,1.000000,0.544434
with_ttl,precision_recall,1.000000,0.544441
with_ttl,precision_recall,1.000000,0.544448
with_ttl,precision_recall,1.000000,0.544455
with_ttl,precision_recall,1.000000,0.544462
with_ttl,precision_recall,1.000000,0.544469
with_ttl,precision_recall,1.000000,0.544476
with_ttl,precision_recall,1.000000,0.544483
with_ttl,precision_recall,1.000000,0.544490
with_ttl,precision_recall,1.000000,0.544497
with_ttl,precision_recall,1.000000,0.544504
with_ttl,precision_recall,1.000000,0.544511
with_ttl,precision_recall,1.000000,0.544518
with_ttl,precision_recall,1.000000,0.544532
with_ttl,precision_recall,1.000000,0.544539
with_ttl,precision_recall,1.000000,0.544553
with_ttl,precision_recall,1.000000,0.544560
with_ttl,precision_recall,1.000000,0.544567
with_ttl,precision_recall,1.000000,0.544574
with_ttl,precision_recall,1.000000,0.544581
with_ttl,precision_recall,1.000000,0.544588
with_ttl,precision_recall,1.000000,0.544595
with_ttl,precision_recall,1.000000,0.544609
with_ttl,precision_recall,1.000000,0.544616
with_ttl,precision_recall,1.000000,0.544623
with_ttl,precision_recall,1.000000,0.544630
with_ttl,precision_recall,1.000000,0.544637
with_ttl,precision_recall,1.000000,0.544644
with_ttl,precision_recall,1.000000,0.544651
with_ttl,precision_recall,1.000000,0.544658
with_ttl,precision_recall,1.000000,0.544665
with_ttl,precision_recall,1.000000,0.544672
with_ttl,precision_recall,1.000000,0.544679
with_ttl,precision_recall,1.000000,0.544700
with_ttl,precision_recall,1.000000,0.544707
with_ttl,precision_recall,1.000000,0.544714
with_ttl,precision_recall,1.000000,0.544721
with_ttl,precision_recall,1.000000,0.544728
with_ttl,precision_recall,1.000000,0.544735
with_ttl,precision_recall,1.000000,0.544742
with_ttl,precision_recall,1.000000,0.544749
with_ttl,precision_recall,1.000000,0.544756
with_ttl,precision_recall,1.000000,0.544763
with_ttl,precision_recall,1.000000,0.544770
with_ttl,precision_recall,1.000000,0.544777
with_ttl,precision_recall,1.000000,0.544806
with_ttl,precision_recall,1.000000,0.544813
with_ttl,precision_recall,1.000000,0.544820
with_ttl,precision_recall,1.000000,0.544827
with_ttl,precision_recall,1.000000,0.544834
with_ttl,precision_recall,1.000000,0.544841
with_ttl,precision_recall,1.000000,0.544848
with_ttl,precision_recall,1.000000,0.544855
with_ttl,precision_recall,1.000000,0.544876
with_ttl,precision_recall,1.000000,0.544904
with_ttl,precision_recall,1.000000,0.544911
with_ttl,precision_recall,1.000000,0.544918
with_ttl,precision_recall,1.000000,0.544932
with_ttl,precision_recall,1.000000,0.544946
with_ttl,precision_recall,1.000000,0.544953
with_ttl,precision_recall,1.000000,0.544960
with_ttl,precision_recall,1.000000,0.544967
with_ttl,precision_recall,1.000000,0.544974
with_ttl,precision_recall,1.000000,0.545009
with_ttl,precision_recall,1.000000,0.545016
with_ttl,precision_recall,1.000000,0.545023
with_ttl,precision_recall,1.000000,0.545058
with_ttl,precision_recall,1.000000,0.545065
with_ttl,precision_recall,1.000000,0.545072
with_ttl,precision_recall,1.000000,0.545079
with_ttl,precision_recall,1.000000,0.545087
with_ttl,precision_recall,1.000000,0.545094
with_ttl,precision_recall,1.000000,0.545101
with_ttl,precision_recall,1.000000,0.545108
with_ttl,precision_recall,1.000000,0.545115
with_ttl,precision_recall,1.000000,0.545143
with_ttl,precision_recall,1.000000,0.545157
with_ttl,precision_recall,1.000000,0.545164
with_ttl,precision_recall,1.000000,0.545171
with_ttl,precision_recall,1.000000,0.545178
with_ttl,precision_recall,1.000000,0.545220
with_ttl,precision_recall,1.000000,0.545227
with_ttl,precision_recall,1.000000,0.545234
with_ttl,precision_recall,1.000000,0.545241
with_ttl,precision_recall,1.000000,0.545248
with_ttl,precision_recall,1.000000,0.545255
with_ttl,precision_recall,1.000000,0.545269
with_ttl,precision_recall,1.000000,0.545311
with_ttl,precision_recall,1.000000,0.545319
with_ttl,precision_recall,1.000000,0.545326
with_ttl,precision_recall,1.000000,0.545333
with_ttl,precision_recall,1.000000,0.545340
with_ttl,precision_recall,1.000000,0.545347
with_ttl,precision_recall,1.000000,0.545354
with_ttl,precision_recall,1.000000,0.545361
with_ttl,precision_recall,1.000000,0.545368
with_ttl,precision_recall,1.000000,0.545375
with_ttl,precision_recall,1.000000,0.545410
with_ttl,precision_recall,1.000000,0.545417
with_ttl,precision_recall,1.000000,0.545438
with_ttl,precision_recall,1.000000,0.545459
with_ttl,precision_recall,1.000000,0.545466
with_ttl,precision_recall,1.000000,0.545473
with_ttl,precision_recall,1.000000,0.545487
with_ttl,precision_recall,1.000000,0.545494
with_ttl,precision_recall,1.000000,0.545501
with_ttl,precision_recall,1.000000,0.545516
with_ttl,precision_recall,1.000000,0.545523
with_ttl,precision_recall,1.000000,0.545530
with_ttl,precision_recall,1.000000,0.545537
with_ttl,precision_recall,1.000000,0.545544
with_ttl,precision_recall,1.000000,0.545551
with_ttl,precision_recall,1.000000,0.545572
with_ttl,precision_recall,1.000000,0.545586
with_ttl,precision_recall,1.000000,0.545593
with_ttl,precision_recall,1.000000,0.545600
with_ttl,precision_recall,1.000000,0.545607
with_ttl,precision_recall,1.000000,0.545614
with_ttl,precision_recall,1.000000,0.545621
with_ttl,precision_recall,1.000000,0.545628
with_ttl,precision_recall,1.000000,0.545642
with_ttl,precision_recall,1.000000,0.545685
with_ttl,precision_recall,1.000000,0.545706
with_ttl,precision_recall,1.000000,0.545713
with_ttl,precision_recall,1.000000,0.545720
with_ttl,precision_recall,1.000000,0.545727
with_ttl,precision_recall,1.000000,0.545734
with_ttl,precision_recall,1.000000,0.545741
with_ttl,precision_recall,1.000000,0.545748
with_ttl,precision_recall,1.000000,0.545755
with_ttl,precision_recall,1.000000,0.545762
with_ttl,precision_recall,1.000000,0.545776
with_ttl,precision_recall,1.000000,0.545783
with_ttl,precision_recall,1.000000,0.545790
with_ttl,precision_recall,1.000000,0.545797
with_ttl,precision_recall,1.000000,0.545804
with_ttl,precision_recall,1.000000,0.545818
with_ttl,precision_recall,1.000000,0.545825
with_ttl,precision_recall,1.000000,0.545832
with_ttl,precision_recall,1.000000,0.545840
with_ttl,precision_recall,1.000000,0.545847
with_ttl,precision_recall,1.000000,0.545854
with_ttl,precision_recall,1.000000,0.545875
with_ttl,precision_recall,1.000000,0.545882
with_ttl,precision_recall,1.000000,0.545889
with_ttl,precision_recall,1.000000,0.545896
with_ttl,precision_recall,1.000000,0.545903
with_ttl,precision_recall,1.000000,0.545910
with_ttl,precision_recall,1.000000,0.545917
with_ttl,precision_recall,1.000000,0.545938
with_ttl,precision_recall,1.000000,0.545945
with_ttl,precision_recall,1.000000,0.545959
with_ttl,precision_recall,1.000000,0.545966
with_ttl,precision_recall,1.000000,0.545973
with_ttl,precision_recall,1.000000,0.545988
with_ttl,precision_recall,1.000000,0.545995
with_ttl,precision_recall,1.000000,0.546002
with_ttl,precision_recall,1.000000,0.546016
with_ttl,precision_recall,1.000000,0.546023
with_ttl,precision_recall,1.000000,0.546030
with_ttl,precision_recall,1.000000,0.546037
with_ttl,precision_recall,1.000000,0.546044
with_ttl,precision_recall,1.000000,0.546051
with_ttl,precision_recall,1.000000,0.546058
with_ttl,precision_recall,1.000000,0.546065
with_ttl,precision_recall,1.000000,0.546072
with_ttl,precision_recall,1.000000,0.546079
with_ttl,precision_recall,1.000000,0.546086
with_ttl,precision_recall,1.000000,0.546093
with_ttl,precision_recall,1.000000,0.546100
with_ttl,precision_recall,1.000000,0.546114
with_ttl,precision_recall,1.000000,0.546122
with_ttl,precision_recall,1.000000,0.546157
with_ttl,precision_recall,1.000000,0.546164
with_ttl,precision_recall,1.000000,0.546171
with_ttl,precision_recall,1.000000,0.546178
with_ttl,precision_recall,1.000000,0.546185
with_ttl,precision_recall,1.000000,0.546192
with_ttl,precision_recall,1.000000,0.546199
with_ttl,precision_recall,1.000000,0.546206
with_ttl,precision_recall,1.000000,0.546227
with_ttl,precision_recall,1.000000,0.546234
with_ttl,precision_recall,1.000000,0.546242
with_ttl,precision_recall,1.000000,0.546249
with_ttl,precision_recall,1.000000,0.546256
with_ttl,precision_recall,1.000000,0.546263
with_ttl,precision_recall,1.000000,0.546277
with_ttl,precision_recall,1.000000,0.546284
with_ttl,precision_recall,1.000000,0.546291
with_ttl,precision_recall,1.000000,0.546298
with_ttl,precision_recall,1.000000,0.546305
with_ttl,precision_recall,1.000000,0.546312
with_ttl,precision_recall,1.000000,0.546319
with_ttl,precision_recall,1.000000,0.546340
with_ttl,precision_recall,1.000000,0.546347
with_ttl,precision_recall,1.000000,0.546354
with_ttl,precision_recall,1.000000,0.546362
with_ttl,precision_recall,1.000000,0.546369
with_ttl,precision_recall,1.000000,0.546376
with_ttl,precision_recall,1.000000,0.546383
with_ttl,precision_recall,1.000000,0.546390
with_ttl,precision_recall,1.000000,0.546397
with_ttl,precision_recall,1.000000,0.546404
with_ttl,precision_recall,1.000000,0.546411
with_ttl,precision_recall,1.000000,0.546418
with_ttl,precision_recall,1.000000,0.546425
with_ttl,precision_recall,1.000000,0.546439
